name,website,total_aum,asset_class,main_sdg,impact_focuses,firm_category,firm_hq,years_in_op,total_investors,capital_from_top_3,lead_total_impact_exp,top_3_impact_exp,pct_invest_women,pct_invest_poc,pct_sr_mgmt_women,pct_sr_mgmt_poc,target_return_bm,target_return_perf,report_freq,pct_aum_impact,primary_sdg,secondary_sdg,value_add_services,impact_tracked,impact_verified,impact_reported,list_of_validators
Allivate Impact Capital,https://www.allivate.com/,$50 – 99M,"Real Estate, Private Equity",1 – No Poverty,"['Affordable Housing & Community Development', 'Small/Medium Business Development', 'Place-based impact']",Private Equity - Growth Stage (Developed Markets),US & Canada,Less than 3 years,Between 5 – 25,50% – 99%,30 years or more,30 years or more,25% to less than 50%,Less than 25%,25% to less than 50%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Alleviating poverty,Addressing climate change and environmental issues,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Alpha Impact Investment
Management",https://www.aiimpartners.com/,$100 – 499M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Diversity, Equity and Inclusion', 'Job creation and workforce development']",Venture Capital - Late Stage (Series A/B) - Developed Markets,US & Canada,5 – 9 years,Between 5 – 25,25% – 49%,30 years or more,20 – 29 years,50% or more,50% or more,50% or more,50% or more,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Technology training', 'Education services', 'Human Resources, recruiting and professional development services']",Yes,Yes,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Amplify Capital,https://www.amplifycapital.ca/,$25 – 49M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Education', 'Global Health']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,5 – 9 years,More than 25,25% – 49%,30 years or more,10 – 19 years,25% to less than 50%,50% or more,50% or more,50% or more,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Increasing access to education and improving educational outcomes,"['Increasing access to healthcare services and improving health', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Apis & Heritage Capital Partners,https://www.apisheritage.com/,$50 – 99M,Private Debt - Absolute Return / Notes,10 – Reduced Inequalities,"['Small/Medium Business Development', 'Demographic-based impact', 'Racial equity and justice']",Mezzanine Finance,US & Canada,3 – 4 years,More than 25,Less than 25%,30 years or more,20 – 29 years,Less than 25%,50% or more,Less than 25%,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,Addressing racial inequities,Alleviating poverty,"['Increasing access to workforce development services, job skilling and retraining', 'Addressing gender inequities', 'Business and legal training', 'Financial literacy training', 'Racial bias training or bias training', 'Other: How to be an employee-owner']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Apis Partners LLP,https://apis.pe/,$1B or more,Private Equity,8 – Decent Work & Economic Growth,"['Microfinance, low-income financial services & micro-insurance', 'Demographic-based impact', 'Job creation and workforce development']",Private Equity - Growth Stage (Emerging Markets),Western Europe,5 – 9 years,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,50% or more,Less than 25%,25% to less than 50%,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Increasing access to financial services,Creating jobs,"['Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Aqua-Spark,http://www.aqua-spark.nl/,$500 – 999M,Private Equity,14 – Life Below Water,"['Clean Technology, Alternative Energy & Climate Change', 'Nutrition, Health and Wellness', 'Sustainable Agriculture']",Venture Capital - Late Stage (Series A/B) - Developed Markets,Western Europe,5 – 9 years,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,Less than 25%,50% or more,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,"Conserving land, oceans, ecosystems and natural resources",Addressing climate change and environmental issues,"['Alleviating poverty', 'Creating jobs', 'Increasing access to financial services', 'Access to markets', 'Financial literacy training', 'Technology training', 'Human Resources, recruiting and professional development services', 'Other: Marketing strategy, synergies, partnerships and impact']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Arborview Capital LLC,https://www.arborviewcapital.com/,$100 – 499M,Private Equity,12 – Responsible Consumption & Production,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Sustainable Agriculture']",Venture Capital - Late Stage (Series A/B) - Developed Markets,US & Canada,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,50% or more,Less than 25%,50% or more,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Creating jobs', 'Increasing access to water and sanitation', 'Access to markets', 'Business and legal training']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
ArcTern Ventures,https://www.arcternventures.com/,$100 – 499M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Sustainable Agriculture']",Venture Capital - Late Stage (Series A/B) - Developed Markets,US & Canada,10 years or more,More than 25,25% – 49%,20 – 29 years,10 – 19 years,25% to less than 50%,25% to less than 50%,25% to less than 50%,Less than 25%,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Addressing racial inequities', 'Addressing gender inequities', 'Other: ESG reporting guidance & support']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Arkview Capital, LP",https://www.arkviewcapital.com/,$100 – 499M,Private Equity,10 – Reduced Inequalities,"['Diversity, Equity and Inclusion', 'Demographic-based impact', 'Racial equity and justice']",Private Equity - Growth Stage (Developed Markets),US & Canada,Less than 3 years,Between 5 – 25,50% – 99%,30 years or more,3 – 9 years,Less than 25%,50% or more,25% to less than 50%,50% or more,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing racial inequities,Creating jobs,"['Access to markets', 'Business and legal training', 'Financial literacy training', 'Education services', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Aruwa Capital Management,http://www.aruwacapital.com/,Less than $25M,Private Equity,5 – Gender Equality,"['Clean Technology, Alternative Energy & Climate Change', 'Small/Medium Business Development', 'Diversity, Equity and Inclusion']",Private Equity - Growth Stage (Emerging Markets),Africa,3 – 4 years,More than 25,25% – 49%,10 – 19 years,10 – 19 years,50% or more,50% or more,50% or more,50% or more,Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing gender inequities,Addressing climate change and environmental issues,"['Alleviating poverty', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Astia,https://www.astia.org/,$50 – 99M,Private Equity,5 – Gender Equality,"['Diversity, Equity and Inclusion', 'Job creation and workforce development', 'Racial equity and justice']",Venture Capital - Late Stage (Series A/B) - Developed Markets,US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,50% or more,50% or more,Less than 25%,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing gender inequities,Addressing climate change and environmental issues,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing racial inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Avesta Capital LLC,https://www.avesta.fund/,$25 – 49M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Microfinance, low-income financial services & micro-insurance', 'Job creation and workforce development']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,Between 5 – 25,25% – 49%,30 years or more,20 – 29 years,25% to less than 50%,25% to less than 50%,Less than 25%,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Increasing access to workforce development services, job skilling and retraining","['Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Other: Impact Measurement and Management Support']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Bamboo Capital Partners,http://www.bamboocp.com/,$100 – 499M,"Private Debt - Absolute Return / Notes, Private Equity",1 – No Poverty,"['Clean Technology, Alternative Energy & Climate Change', 'Sustainable Agriculture', 'Microfinance, low-income financial services & micro-insurance']",Venture Capital - Multi Stage - Emerging Markets,Western Europe,10 years or more,More than 25,25% – 49%,30 years or more,20 – 29 years,25% to less than 50%,50% or more,25% to less than 50%,25% to less than 50%,Market Rates,In line with initial target returns,Quarterly,100%,Alleviating poverty,Addressing climate change and environmental issues,"['Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services', 'Other: Technical Assistance on agricultural practices (through our TA facility for the ABC Fund)']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Better Ventures,https://www.better.vc/,$100 – 499M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Global Health', 'Job creation and workforce development']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,Less than 25%,50% or more,50% or more,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Addressing racial inequities', 'Addressing gender inequities', 'Business and legal training', 'Racial bias training or bias training', 'Other: Customer intros, fundraising support']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Beyond Capital Ventures,https://www.beyondcapitalventures.com/,Less than $25M,"Private Debt - Absolute Return / Notes, Private Equity",1 – No Poverty,"['Clean Technology, Alternative Energy & Climate Change', 'Global Health', 'Job creation and workforce development']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Emerging Markets",US & Canada,Less than 3 years,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,50% or more,50% or more,25% to less than 50%,Above Market Rates,In line with initial target returns,Quarterly,100%,Creating jobs,Addressing climate change and environmental issues,"['Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training']",Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Blue Earth Capital AG,https://blueearth.capital/,$1B or more,"Private Debt - Absolute Return / Notes, Private Equity",8 – Decent Work & Economic Growth,"['Clean Technology, Alternative Energy & Climate Change', 'Microfinance, low-income financial services & micro-insurance']",Private Equity - Other,Western Europe,5 – 9 years,Between 5 – 25,25% – 49%,30 years or more,20 – 29 years,25% to less than 50%,25% to less than 50%,Less than 25%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,"Other: Varies by fund (we have funds targeting social impact areas, and some targeting environmental / climate impact areas)",Access to markets,['Other: Strategic advise; and support / guidance in improving internal ESG processes and reporting'],Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Blue Innovation Fund,https://maritimeblue.org/,Less than $25M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Water and Sanitation']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Emerging Markets",US & Canada,5 – 9 years,More than 25,Less than 25%,20 – 29 years,20 – 29 years,Less than 25%,Less than 25%,Less than 25%,Less than 25%,Market Rates,In line with initial target returns,Annually,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Technology training', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services', 'Other: Access to best in class research organizations in the ocean & maritime sectors']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
BlueHub Capital,https://bluehubcapital.org/,$100 – 499M,"Public Debt, Private Debt - Absolute Return / Notes",10 – Reduced Inequalities,"['Affordable Housing & Community Development', 'Education', 'Job creation and workforce development']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Development Markets)",US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,Less than 25%,50% or more,25% to less than 50%,Concessionary Rates,In line with initial target returns,Quarterly,100%,Other: Generate equitable and inclusive economic opportunity,Addressing climate change and environmental issues,"['Alleviating poverty', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Promoting arts and media', 'Providing housing', 'Addressing racial inequities', 'Other: Financial structuring and project finance support']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
